Serving HTTP on 0.0.0.0 port 8899 (http://0.0.0.0:8899/) ...
127.0.0.1 - - [22/Sep/2026 12:33:36] "GET /img/1-2-008_Reshiram.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:36] "GET /img/1-2-002_Groudon.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:36] "GET /img/1-2-006_Kommo-o.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:36] "GET /img/1-2-020_Tyranitar.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:36] "GET /img/1-2-022_Flapple.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:36] "GET /img/1-2-001_Kyogre.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:36] "GET /img/1-2-014_Sylveon.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:36] "GET /img/1-2-009_Zekrom.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:37] "GET /img/1-2-012_Espeon.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:37] "GET /img/1-2-023_Appletun.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:37] "GET /icons/icon-192.png HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:37] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:37] "GET /icons/icon-512.png HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:38] "GET /img/1-2-069_Gardevoir.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:38] "GET /img/1-2-049_Pidgeot.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:38] "GET /img/1-2-051_Alolan_Sandslash.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:38] "GET /img/1-2-059_Jynx.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:40] code 404, message File not found
127.0.0.1 - - [22/Sep/2026 12:33:40] "GET /img/4-050_Flygon.webp HTTP/1.1" 404 -
127.0.0.1 - - [22/Sep/2026 12:33:40] code 404, message File not found
127.0.0.1 - - [22/Sep/2026 12:33:40] "GET /img/dc4-025_Nidoking.webp HTTP/1.1" 404 -
127.0.0.1 - - [22/Sep/2026 12:33:40] "GET /img/support_ticket_1.png HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:40] code 404, message File not found
127.0.0.1 - - [22/Sep/2026 12:33:40] "GET /img/dc2-030_Tangrowth.webp HTTP/1.1" 404 -
127.0.0.1 - - [22/Sep/2026 12:33:40] code 404, message File not found
127.0.0.1 - - [22/Sep/2026 12:33:40] "GET /img/4-046_Corviknight.webp HTTP/1.1" 404 -
127.0.0.1 - - [22/Sep/2026 12:33:40] code 404, message File not found
127.0.0.1 - - [22/Sep/2026 12:33:40] "GET /img/4-049_Mimikyu.webp HTTP/1.1" 404 -
127.0.0.1 - - [22/Sep/2026 12:33:40] "GET /img/support_ticket_3.png HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:40] code 404, message File not found
127.0.0.1 - - [22/Sep/2026 12:33:40] "GET /img/1-1-025_Zygarde.webp HTTP/1.1" 404 -
127.0.0.1 - - [22/Sep/2026 12:33:40] "GET /img/support_ticket_2.png HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:40] code 404, message File not found
127.0.0.1 - - [22/Sep/2026 12:33:40] "GET /img/st1-006_Calyrex_Shadow.webp HTTP/1.1" 404 -
127.0.0.1 - - [22/Sep/2026 12:33:40] "GET /img/support_ticket_8.png HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:40] "GET /img/support_ticket_6.png HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:40] code 404, message File not found
127.0.0.1 - - [22/Sep/2026 12:33:40] "GET /img/gs4-018_Krookodile.webp HTTP/1.1" 404 -
127.0.0.1 - - [22/Sep/2026 12:33:40] "GET /img/support_ticket_9.png HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:40] "GET /img/support_ticket_7.png HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:40] "GET /img/1-2-027_Skeledirge.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:40] "GET /img/1-2-065_Mareanie.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:40] "GET /img/support_ticket_4.png HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:40] "GET /img/1-2-064_Drifblim.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:40] "GET /img/support_ticket_5.png HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:40] "GET /img/support_ticket_10.png HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:40] "GET /img/support_ticket_11.png HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:40] code 404, message File not found
127.0.0.1 - - [22/Sep/2026 12:33:40] "GET /img/st1-005_Calyrex_Ice.webp HTTP/1.1" 404 -
127.0.0.1 - - [22/Sep/2026 12:33:40] "GET /img/support_ticket_12.png HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:47] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:48] "GET /sw.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Sep/2026 12:33:52] "GET /img/1-2-052_Bronzor.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:52] "GET /img/1-2-060_Abra.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:52] "GET /img/2-2-065_Alcremie.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:52] "GET /img/2-2-016_Alakazam.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:52] "GET /img/1-2-053_Bronzong.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:52] "GET /img/1-4-047_Alolan_Ninetales.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:52] "GET /img/1-2-046_Boltund.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:52] "GET /img/1-2-050_Alolan_Sandshrew.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:53] "GET /img/1-2-035_Chimchar.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:53] "GET /img/2-1-029_Charcadet.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:54] "GET /img/1-1-010_Blastoise.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:54] "GET /img/2-2-025_Absol.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:54] "GET /img/2-1-057_Arcanine.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:54] "GET /img/2-2-017_Arctozolt.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:54] "GET /img/2-2-013_Aerodactyl.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:58] "GET /img/2-2-061_Budew.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:58] "GET /img/2-2-004_Charizard.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:59] "GET /img/1-1-061_Charjabug.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:59] "GET /img/2-1-002_Cinderace.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:59] "GET /img/1-1-068_Cramorant.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:00] "GET /img/2-2-028_Crocalor.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:00] "GET /img/1-1-041_Dedenne.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:01] "GET /img/2-2-039_Dewott.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:01] "GET /img/1-1-064_Dodrio.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:01] "GET /img/2-2-015_Dracovish.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:01] "GET /img/1-1-063_Doduo.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:01] "GET /img/2-2-014_Dracozolt.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:01] "GET /img/2-1-044_Drifblim.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:01] "GET /img/2-1-043_Drifloon.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:02] "GET /img/2-1-039_Drizzile.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:02] "GET /img/2-2-003_Duraludon.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:02] "GET /img/2-2-048_Eelektross.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:02] "GET /img/2-2-047_Eelektrik.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:02] "GET /img/1-1-044_Eevee.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:02] "GET /img/2-1-062_Eldegoss.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:02] "GET /img/2-2-068_Electivire.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:02] "GET /img/2-2-067_Electabuzz.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:04] "GET /img/2-2-020_Emboar.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:04] "GET /img/2-2-066_Elekid.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:04] "GET /img/2-2-044_Feebas.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:04] "GET /img/2-2-026_Floragato.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:04] "GET /img/1-2-042_Flareon.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:06] "GET /img/2-2-050_Kirlia.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:06] "GET /img/1-2-013_Leafeon.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:06] "GET /img/1-2-061_Kadabra.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:06] "GET /img/1-3-017_Pidgeot.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:06] "GET /img/2-1-031_Pawmi.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:06] "GET /img/1-4-008_Kyurem.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:06] "GET /img/2-2-006_Lucario.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:06] "GET /img/1-2-058_Pelipper.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:06] "GET /img/1-2-036_Monferno.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:06] "GET /img/1-2-070_Onix.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:06] "GET /img/2-2-011_Metagross.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:06] "GET /img/2-2-027_Meowscarada.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:11] "GET /img/1-2-066_Togedemaru.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:19] "GET /img/1-2-033_Grotle.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:19] "GET /img/1-2-044_Glaceon.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:19] "GET /img/2-2-051_Gardevoir.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:19] "GET /img/2-1-017_Flygon.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:34:19] "GET /img/2-1-030_Frigibax.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:44:59] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /icons/bolt-transparent.png HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /assets/app.js HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /assets/style.css HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /manifest.webmanifest HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /data/typechart.json HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /data/roster.json HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /data/bosses.json HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /data/pool.json HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /icons/icon-192.png HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /sw.js HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /icons/favicon-32.png HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /img/1-2-005_Snorlax.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /img/1-2-016_Torterra.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /img/1-2-007_Gardevoir.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /img/1-2-025_Drednaw.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /img/1-2-009_Zekrom.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /img/1-2-015_Lucario.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /img/1-2-008_Reshiram.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /img/1-2-026_Meowscarada.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /img/1-2-020_Tyranitar.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /img/1-2-021_Metagross.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /img/1-2-006_Kommo-o.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /img/1-2-010_Kyurem.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /img/1-2-002_Groudon.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /img/1-2-003_Koraidon.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /img/1-2-018_Empoleon.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /img/1-2-014_Sylveon.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /img/1-2-001_Kyogre.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /img/1-2-023_Appletun.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /img/1-2-022_Flapple.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /img/1-2-049_Pidgeot.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /img/1-2-012_Espeon.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /img/1-2-066_Togedemaru.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /img/1-2-069_Gardevoir.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /img/1-2-070_Onix.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /img/1-2-059_Jynx.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /img/1-2-061_Kadabra.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:00] "GET /img/1-2-051_Alolan_Sandslash.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:01] "GET /icons/icon-512.png HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:01] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/1-2-060_Abra.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/2-2-065_Alcremie.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/2-2-016_Alakazam.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/1-2-046_Boltund.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/1-4-047_Alolan_Ninetales.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/1-2-050_Alolan_Sandshrew.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/1-2-053_Bronzong.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/1-2-052_Bronzor.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/2-1-029_Charcadet.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/2-1-044_Drifblim.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/1-2-035_Chimchar.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/2-1-017_Flygon.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/1-2-033_Grotle.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/1-2-044_Glaceon.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/2-1-030_Frigibax.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/1-2-042_Flareon.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/2-1-043_Drifloon.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/2-2-050_Kirlia.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/1-4-008_Kyurem.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/2-2-051_Gardevoir.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/2-2-011_Metagross.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/1-2-013_Leafeon.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/1-2-017_Infernape.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/2-1-031_Pawmi.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/1-2-011_Jolteon.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/1-2-065_Mareanie.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/2-2-006_Lucario.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/2-2-027_Meowscarada.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/1-2-036_Monferno.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/1-3-017_Pidgeot.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/1-2-058_Pelipper.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/1-2-048_Pidgeotto.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/R-2-1_Pikachu.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/R-1-3_Snorlax.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/1-2-038_Piplup.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/1-2-047_Pidgey.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/1-2-057_Wingull.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/1-2-054_Trapinch.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/1-2-055_Vibrava.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/2-2-049_Ralts.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/2-2-031_Quaquaval.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/1-2-043_Umbreon.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/1-2-045_Yamper.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/1-2-032_Turtwig.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/1-2-041_Vaporeon.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/2-2-029_Skeledirge.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:45:02] "GET /img/1-2-039_Prinplup.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:50:47] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:50:47] "GET /assets/app.js HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:50:48] "GET /assets/style.css HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:50:48] "GET /sw.js HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:51:01] "GET /?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:51:01] "GET /icons/bolt-transparent.png HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:51:01] "GET /assets/app.js HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:51:01] "GET /assets/style.css HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:51:01] "GET /manifest.webmanifest HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:51:01] "GET /data/typechart.json HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:51:01] "GET /data/pool.json HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:51:01] "GET /data/bosses.json HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:51:01] "GET /data/roster.json HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:51:02] "GET /icons/icon-192.png HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:51:02] "GET /sw.js HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:51:02] "GET /icons/favicon-32.png HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:51:02] "GET /img/1-2-005_Snorlax.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:51:02] "GET /img/1-2-025_Drednaw.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:51:02] "GET /img/1-2-003_Koraidon.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:51:02] "GET /img/1-2-021_Metagross.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:51:02] "GET /img/1-2-002_Groudon.webp HTTP/1.1" 200 -
